Key,Vietnamese,English
MapBoss2.NPC.1.1,Thông tin bản đồ sẽ hiện ở trên đoạn đối thoại giữa chúng ta ,The map information will appear above the dialogue between us
MapBoss2.NPC.1.2,Hãy giữ lượng máu ổn định để có thể vượt qua các thử thách,Keep your health stable to overcome the challenges
MapBoss2.NPC.1.3,Nhặt vũ khí cung sau đó chọn cung trong ô vuông trên góc bên phải ,"Pick up the bow weapon, then select the bow in the square box at the top right corner"
MapBoss2.NPC.1.4,Vũ khí cung sẽ rất hữu dụng khi biết tấn công chính xác,The bow will be very useful if you know how to attack accurately
,,
MapBoss2.NPC.1.5,Cố lên nhé!,Good luck!
,,
MapBoss2.NPC.2.1,Tôi chưa thấy ai ra khỏi nơi đây cả...,I haven't seen anyone leave this place...
MapBoss2.NPC.2.2,Người không sống nổi lâu đâu...Quái vật rất mạnh và độc ác,I haven't seen anyone leave this place... You won't survive long... The monsters are very strong and vicious
MapBoss2.NPC.2.3,Mau trốn đi kẻo muộn đấy!,Hide quickly before it's too late!
,,
MapBoss2.NPC.3.1,Chào chàng trai trẻ...Ta mới bị giam giữ nơi đây ,Hello young man...
MapBoss2.NPC.3.2,Ta biết lối ra của bản đồ này,I have just been imprisoned here. I know the way out of this map
MapBoss2.NPC.3.3,"Cậu hãy đi thẳng và rẽ trái, lối ra nằm đâu đó ở gần đấy thôi!","Go straight and turn left, the exit is somewhere nearby!"
,,
MapBoss2.NPC.4.1,Ngươi hãy nhớ tiêu diệt hết quái vật ,Remember to defeat all the monsters
MapBoss2.NPC.4.2,để có thể lấy tối đa điểm kinh nghiệm nhé!,to gain the maximum experience points!
